Datas,Contratos,Spot
06/11/2017,33.25,29.93
07/11/2017,33.4,30.9
08/11/2017,33.4,32.03
09/11/2017,33.5,29.38
10/11/2017,33.95,29.31
13/11/2017,33.75,34.46
14/11/2017,32.3,32.27
15/11/2017,31.53,31.63
16/11/2017,31.5,31.13
17/11/2017,31.05,29.29
20/11/2017,31.45,39.22
21/11/2017,32.75,44.49
22/11/2017,33.1,31.38
23/11/2017,33.55,28.6
24/11/2017,33.9,31.64
27/11/2017,34.4,32.9
28/11/2017,33.9,37.25
29/11/2017,33.85,51.88
30/11/2017,33.15,44.68
01/12/2017,35.05,40.67
04/12/2017,35.25,34.88
05/12/2017,35.25,31.1
06/12/2017,34.83,31.31
07/12/2017,34.6,28.71
08/12/2017,34.25,27.95
11/12/2017,33.75,40.57
12/12/2017,33.9,33.27
13/12/2017,33.25,29.55
14/12/2017,32.7,30.71
15/12/2017,33.05,37.71
18/12/2017,31.95,37.69
19/12/2017,32.25,42.02
20/12/2017,33,32.69
21/12/2017,33.5,29.52
22/12/2017,33.2,29.21
27/12/2017,33.2,30.28
28/12/2017,33.81,32.17
29/12/2017,33.9,28.69
02/01/2018,34.1,31.95
03/01/2018,33.8,28.58
04/01/2018,33.15,32.28
05/01/2018,32.7,31.96
08/01/2018,32.95,31.94
09/01/2018,34.25,30.61
10/01/2018,34.2,40.06
11/01/2018,33.95,42.31
12/01/2018,35.8,35.96
15/01/2018,34.5,29.2
16/01/2018,34.9,31.07
17/01/2018,35.4,34.14
18/01/2018,34.55,37.17
19/01/2018,34.25,42.44
22/01/2018,34.95,42.58
23/01/2018,34.05,41.21
24/01/2018,34.3,28.83
25/01/2018,34.45,29.67
26/01/2018,35.45,34.12
29/01/2018,34.65,30.08
30/01/2018,34.5,32.64
31/01/2018,36.3,30.74
01/02/2018,32.85,31.19
02/02/2018,33.4,35.74
05/02/2018,33.05,48.25
06/02/2018,33.7,46.03
07/02/2018,33.9,44.58
08/02/2018,33.3,38.89
09/02/2018,33.65,32.66
12/02/2018,33.5,32.06
13/02/2018,34.9,36.61
14/02/2018,35.1,35.64
15/02/2018,34.75,32.95
16/02/2018,35.6,36.6
19/02/2018,37.45,48.07
20/02/2018,38.05,49.42
21/02/2018,38.45,47.66
22/02/2018,38,48.08
23/02/2018,39.8,44.66
26/02/2018,37.5,46.64
27/02/2018,37.51,44.86
28/02/2018,39.2,47.6
01/03/2018,34.2,65.42
02/03/2018,32.73,53.58
05/03/2018,31.85,52.88
06/03/2018,32.35,48.62
07/03/2018,33.15,47.12
08/03/2018,34.1,40.16
09/03/2018,35.4,40.27
12/03/2018,37.2,42.38
13/03/2018,37,41.81
14/03/2018,36.15,47.55
15/03/2018,35.85,40.59
16/03/2018,37,40.41
19/03/2018,36.85,42.45
20/03/2018,37.6,43.34
21/03/2018,38.45,42.4
22/03/2018,39.2,41.45
23/03/2018,39.5,46.67
26/03/2018,37.9,47.71
27/03/2018,38.1,45.89
28/03/2018,38.58,42.89
03/04/2018,31.2,43.16
04/04/2018,32.15,42.69
05/04/2018,31.75,41.94
06/04/2018,32,40.34
09/04/2018,32.32,43.14
10/04/2018,32.4,40.07
11/04/2018,32.26,40.11
12/04/2018,32.25,40.07
13/04/2018,32.85,39.58
16/04/2018,32.45,46.56
17/04/2018,31.8,43.11
18/04/2018,31.95,42
19/04/2018,32.45,39.84
20/04/2018,32.05,36.9
23/04/2018,32.5,36.03
24/04/2018,32.35,34.92
25/04/2018,32.98,37.31
26/04/2018,32.8,36.92
27/04/2018,32.85,37.85
30/04/2018,32.4,32.77
02/05/2018,32.45,36.96
03/05/2018,33,37.36
04/05/2018,33.18,37.26
07/05/2018,33.7,30.21
08/05/2018,33.5,29.36
09/05/2018,33.35,20.88
11/05/2018,34,27.86
